                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                  1.057,                 1.0264,                 1.3782,                0.80961,                0.68676,                0.79514,                0.44797,                  1.393,                 1.6811,                 1.9747,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.0424,                0.95353,                 1.3688,                0.63877,                0.78064,                0.71951,                0.42807,                   1.37,                 1.7951,                 1.9408,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.0112,                0.98154,                 1.3504,                0.73459,                0.83952,                0.86319,                0.51758,                 1.3263,                 1.6484,                 1.8266,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.0566,                0.98149,                 1.3513,                0.85661,                0.85887,                0.88937,                0.53093,                 1.3685,                 1.4314,                 1.9758,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.0086,                 1.4144,                 1.4628,                0.82469,                0.79548,                 0.8357,                  0.489,                 1.4817,                 1.6672,                 2.1495,             0.00056678,             0.00056678,             0.00056678
                     22,                0.93289,                  1.253,                 1.4089,                0.89328,                0.84571,                 0.8733,                0.52686,                 1.3967,                  1.302,                 1.9761,             0.00051177,             0.00051177,             0.00051177
                     23,                 0.8891,                 1.1067,                 1.4234,                0.94113,                0.84185,                0.89637,                0.53709,                 1.3734,                 1.3093,                  1.921,             0.00045676,             0.00045676,             0.00045676
                     24,                0.87603,                 1.0101,                 1.3469,                0.96363,                 0.8655,                0.91971,                0.57784,                 1.3026,                 1.2732,                 1.7572,             0.00040175,             0.00040175,             0.00040175
                     25,                0.83757,                 1.0465,                 1.2732,                0.91617,                0.87749,                0.92703,                 0.6037,                 1.2448,                 1.2429,                 1.7238,             0.00034674,             0.00034674,             0.00034674
                     26,                0.82031,                 1.0123,                 1.3328,                0.93833,                0.85636,                0.93037,                0.61916,                 1.1639,                 1.2077,                  1.666,             0.00029172,             0.00029172,             0.00029172
                     27,                0.84254,                0.96222,                  1.332,                0.93789,                0.89988,                0.93587,                0.61571,                 1.1507,                 1.1439,                 1.6569,             0.00023671,             0.00023671,             0.00023671
                     28,                0.77902,                0.91301,                 1.2681,                0.94734,                0.89321,                0.93319,                0.60855,                 1.1759,                 1.1338,                 1.6635,              0.0001817,              0.0001817,              0.0001817
                     29,                0.76942,                0.91767,                  1.261,                0.97382,                0.89015,                0.93566,                0.61726,                  1.185,                 1.1205,                  1.668,             0.00012669,             0.00012669,             0.00012669
                     30,                0.81204,                0.91595,                 1.3288,                0.97355,                0.90012,                0.93601,                0.61377,                  1.174,                 1.1062,                 1.6546,             7.1681e-05,             7.1681e-05,             7.1681e-05
