                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6027,                 2.8822,                 1.8969,                0.00428,                0.98936,                0.62621,                0.41322,                0.87963,                 3.2691,                 1.4818,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.2769,                 2.0625,                 1.5696,                0.04842,                0.96809,                0.56497,                0.31743,                 1.1508,                 3.0663,                 1.7979,             0.00030628,             0.00030628,             0.00030628
                      3,                 1.2116,                 1.6732,                 1.5216,                0.35261,                0.79314,                0.69249,                0.38555,                 1.3791,                 3.1506,                 2.0097,             0.00045152,             0.00045152,             0.00045152
                      4,                 1.2168,                 1.5181,                 1.5245,                0.73517,                0.39117,                0.63694,                0.33286,                 1.5405,                 2.8635,                 2.4048,             0.00058577,             0.00058577,             0.00058577
                      5,                 1.2537,                  1.472,                  1.516,                 0.8072,                0.67164,                0.78814,                0.47293,                 1.4718,                 2.1926,                 2.0684,             0.00070901,             0.00070901,             0.00070901
                      6,                 1.1564,                 1.3731,                 1.4923,                0.73271,                0.69693,                0.74655,                 0.4191,                 1.3468,                 2.1712,                 1.9562,             0.00082125,             0.00082125,             0.00082125
                      7,                  1.185,                 1.3744,                 1.4983,                0.59128,                0.66798,                0.68774,                0.31877,                 1.5372,                 2.3515,                 2.2358,             0.00092248,             0.00092248,             0.00092248
                      8,                 1.1371,                 1.2826,                 1.4396,                0.64667,                0.59693,                0.67497,                0.35232,                 1.5425,                  2.379,                  2.184,              0.0010127,              0.0010127,              0.0010127
                      9,                 1.1244,                 1.2243,                 1.4456,                0.73007,                0.72862,                0.75891,                0.43231,                 1.3686,                 1.9326,                 2.0854,               0.001092,               0.001092,               0.001092
                     10,                 1.1341,                 1.2063,                 1.4201,                 0.7881,                0.71675,                0.78429,                0.44285,                 1.3805,                 2.1093,                 2.2526,              0.0011602,              0.0011602,              0.0011602
                     11,                 1.1258,                 1.1128,                 1.3747,                0.69374,                0.69773,                0.80509,                 0.3958,                 1.4612,                 2.3184,                 2.3725,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.1268,                   1.11,                 1.3748,                0.87056,                0.68793,                0.82373,                0.42888,                  1.479,                   1.93,                 2.1406,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.0893,                 1.1163,                  1.407,                0.90053,                0.77624,                0.88222,                0.44419,                 1.4352,                 1.9133,                 2.0904,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.0726,                 1.0831,                 1.3565,                0.78819,                 0.6768,                0.76967,                0.37292,                 1.5579,                 1.8267,                 2.1161,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.0731,                 1.0497,                 1.3765,                0.81579,                0.75752,                0.82408,                0.45609,                 1.3985,                 1.8445,                   1.96,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.1113,                 1.1001,                 1.4365,                0.79578,                0.77819,                0.83586,                0.51446,                 1.3528,                 1.7288,                 1.9683,             0.00084184,             0.00084184,             0.00084184
