                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5771,                 2.6514,                 1.6575,                 0.0053,                0.87719,                0.54422,                 0.3209,                  1.176,                 3.0997,                 1.5843,             0.00036674,             0.00036674,             0.00036674
                      2,                 1.3864,                 1.9521,                 1.5168,                0.76375,                0.44311,                0.56591,                0.31967,                 1.3781,                 2.6854,                 1.7464,              0.0007254,              0.0007254,              0.0007254
                      3,                 1.4329,                 1.7709,                 1.5382,                0.32764,                0.37316,                0.29509,                 0.1011,                 1.8562,                 2.8759,                 2.2652,              0.0010587,              0.0010587,              0.0010587
                      4,                 1.4988,                 1.8415,                 1.6302,                0.32473,                0.39803,                0.32208,                0.14678,                  1.892,                 2.8825,                 2.4981,              0.0013668,              0.0013668,              0.0013668
                      5,                 1.4408,                 1.7504,                 1.5254,                  0.331,                0.39746,                0.30794,                0.12697,                 2.1034,                 4.1096,                 2.7414,               0.001447,               0.001447,               0.001447
                      6,                 1.4046,                  1.644,                 1.5156,                0.31435,                 0.3797,                0.25157,                0.10712,                  2.241,                 3.4449,                 2.8244,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.3975,                 1.5846,                 1.5073,                0.39753,                0.53964,                0.38939,                0.18279,                 1.7121,                 2.5678,                 2.2908,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.4058,                 1.5797,                 1.5595,                 0.4874,                0.52641,                0.46844,                0.22522,                 1.6455,                 3.5293,                 2.0936,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.3886,                 1.4874,                 1.5179,                0.67641,                 0.5147,                0.63177,                0.31548,                  1.576,                 2.3668,                 2.0209,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.3437,                 1.4338,                 1.4688,                0.82249,                0.75229,                0.82466,                0.47607,                 1.3351,                 1.4532,                 1.6813,              0.0011719,              0.0011719,              0.0011719
                     11,                  1.375,                 1.3489,                 1.5085,                0.89093,                0.70485,                 0.8192,                0.45857,                 1.4218,                  1.476,                 1.7872,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.3274,                 1.3434,                 1.4876,                0.85172,                0.74491,                 0.8336,                0.51553,                 1.3473,                 1.5766,                 1.6589,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.3516,                 1.3475,                  1.489,                0.85157,                0.80628,                0.86868,                0.55152,                 1.2933,                  1.292,                 1.6125,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.3044,                 1.2336,                 1.4474,                0.86685,                0.80784,                0.87193,                 0.5097,                 1.3294,                 1.2919,                 1.6773,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.2908,                 1.2271,                 1.4383,                 0.8818,                0.82936,                  0.896,                0.53241,                 1.3565,                 1.2162,                 1.6971,             0.00089685,             0.00089685,             0.00089685
                     16,                  1.294,                 1.1814,                 1.4281,                0.85089,                0.83349,                0.90308,                0.56856,                 1.2475,                 1.1502,                 1.5724,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.2907,                 1.1857,                 1.4268,                0.81727,                0.86229,                 0.9071,                0.57042,                 1.2397,                 1.0544,                 1.5538,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.2555,                 1.1781,                 1.4255,                0.82743,                0.84006,                0.90155,                0.56667,                 1.2167,                 1.0726,                  1.568,             0.00073181,             0.00073181,             0.00073181
                     19,                   1.23,                 1.1122,                  1.393,                0.92675,                0.86094,                0.91731,                0.56547,                 1.2534,                 1.0289,                 1.5737,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.2164,                 1.0802,                 1.3806,                0.94572,                0.90177,                0.95656,                0.60784,                 1.1941,                0.88889,                 1.5438,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.1798,                 1.1007,                 1.4198,                0.94057,                0.85976,                0.93469,                0.58072,                 1.2803,                 1.0446,                  1.606,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.1661,                  1.064,                 1.3971,                0.94012,                0.89477,                0.95138,                0.62824,                 1.1763,                0.96136,                  1.501,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.1028,                 1.0003,                 1.3739,                0.91804,                0.89226,                0.94046,                0.58974,                 1.2371,                0.98778,                 1.5715,             0.00045676,             0.00045676,             0.00045676
                     24,                  1.098,                0.99786,                 1.3609,                0.94425,                0.90013,                0.96448,                0.64774,                 1.1179,                0.89031,                 1.4397,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.0447,                0.93933,                  1.341,                0.95313,                0.93341,                0.96954,                0.66462,                 1.0915,                0.83478,                  1.426,             0.00034674,             0.00034674,             0.00034674
                     26,                 1.0396,                0.90492,                 1.3276,                 0.9317,                0.93636,                0.96244,                0.66465,                 1.0952,                0.81608,                 1.4259,             0.00029172,             0.00029172,             0.00029172
                     27,                 1.0054,                0.84351,                 1.2916,                0.97409,                0.91893,                0.97304,                0.67762,                 1.0376,                0.77032,                 1.3908,             0.00023671,             0.00023671,             0.00023671
                     28,                0.99012,                0.85624,                 1.2632,                0.95708,                0.94896,                0.97513,                0.68567,                 1.0365,                0.74039,                 1.3812,              0.0001817,              0.0001817,              0.0001817
                     29,                 0.9921,                0.80822,                 1.2742,                0.96844,                0.94731,                0.97295,                0.67249,                 1.0453,                0.74157,                 1.3909,             0.00012669,             0.00012669,             0.00012669
                     30,                 1.0018,                0.79656,                 1.2804,                0.96818,                0.95136,                0.97432,                0.68228,                 1.0329,                 0.7305,                 1.3768,             7.1681e-05,             7.1681e-05,             7.1681e-05
