                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 2.2538,                 2.5123,                 1.9764,                0.85402,                0.34336,                0.45419,                0.22189,                 2.4893,                 2.8136,                 2.1781,             0.00056301,             0.00056301,             0.00056301
                     15,                 2.2324,                 2.2661,                 1.8821,                0.78497,                0.34657,                0.40517,                0.19165,                 2.5684,                 2.6888,                 2.1833,             0.00056891,             0.00056891,             0.00056891
                     16,                  2.169,                  2.263,                 1.8885,                0.86374,                0.31482,                0.38763,                0.17508,                 2.4876,                 2.6732,                 2.1199,              0.0005701,              0.0005701,              0.0005701
                     17,                 2.1524,                 2.5021,                 1.8597,                0.58079,                0.31901,                0.36035,                0.19995,                 2.5041,                 2.6787,                 2.2011,             0.00056657,             0.00056657,             0.00056657
                     18,                 2.3231,                 2.3327,                 2.0597,                0.61248,                 0.3303,                0.36097,                0.20792,                 2.5465,                 2.6761,                 2.2508,             0.00055832,             0.00055832,             0.00055832
                     19,                 2.1219,                 2.1316,                 1.8984,                0.53901,                0.32251,                0.38022,                0.21551,                 2.5666,                 2.6776,                 2.2423,             0.00054536,             0.00054536,             0.00054536
                     20,                 2.3433,                 2.3327,                 1.9747,                0.53701,                0.29772,                 0.3719,                0.19278,                 2.5457,                 2.6825,                 2.2128,             0.00052769,             0.00052769,             0.00052769
                     21,                 2.4003,                 2.5259,                 1.9983,                0.50722,                0.30342,                0.35304,                0.17825,                 2.4951,                 2.6545,                 2.1744,             0.00048586,             0.00048586,             0.00048586
                     22,                 2.1296,                 2.2988,                 1.8448,                0.47037,                0.27886,                0.32373,                0.15629,                 2.3718,                 2.6454,                  2.162,              0.0004387,              0.0004387,              0.0004387
                     23,                 2.0906,                 2.1544,                 1.8529,                0.31817,                0.29216,                0.29927,                0.14926,                 2.3144,                 2.7081,                 2.1875,             0.00039155,             0.00039155,             0.00039155
                     24,                 2.1888,                 2.3337,                 1.9399,                0.49464,                0.25655,                0.32546,                  0.163,                 2.2394,                 2.6248,                 2.1927,             0.00034439,             0.00034439,             0.00034439
                     25,                 2.1002,                 2.2869,                 1.9532,                0.41188,                0.34573,                0.34568,                0.16957,                 2.1897,                 2.5731,                 2.1648,             0.00029723,             0.00029723,             0.00029723
                     26,                  1.886,                 2.6907,                 1.8056,                 0.5621,                 0.3741,                 0.3711,                0.19395,                 2.1716,                 2.5516,                 2.1328,             0.00025007,             0.00025007,             0.00025007
                     27,                 1.8765,                 2.8742,                 1.8456,                0.58454,                0.40385,                0.37022,                0.19579,                 2.1826,                 2.5334,                 2.1292,             0.00020292,             0.00020292,             0.00020292
                     28,                 1.6549,                 5.7632,                 1.4942,                0.62229,                0.40142,                0.40267,                 0.2151,                 2.1808,                 2.5346,                 2.0939,             0.00015576,             0.00015576,             0.00015576
                     29,                  2.055,                  2.721,                 2.0222,                0.64897,                0.40142,                0.40522,                0.21915,                 2.1861,                 2.5396,                  2.091,              0.0001086,              0.0001086,              0.0001086
                     30,                  2.339,                 2.9546,                 2.2923,                0.64933,                0.39573,                0.40496,                 0.2202,                 2.1742,                 2.5313,                 2.0826,             6.1447e-05,             6.1447e-05,             6.1447e-05
