                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4937,                 3.6644,                 2.2674,                0.00692,                0.54915,                0.10794,                0.06067,                 2.3262,                 3.6178,                 2.2819,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 2.3648,                 3.5104,                 2.2248,                0.00683,                0.55199,                0.20464,                0.11327,                 2.2278,                 3.6353,                 2.2026,             0.00012437,             0.00012437,             0.00012437
                      3,                  2.298,                 3.4041,                 2.1269,                0.00835,                0.63034,                0.33097,                0.20652,                 2.2452,                  3.559,                 2.0805,             0.00018686,             0.00018686,             0.00018686
                      4,                 2.3876,                 3.1166,                 2.0626,                0.00945,                0.64174,                0.34687,                0.20113,                 2.2506,                 3.4831,                 2.0147,             0.00024463,             0.00024463,             0.00024463
                      5,                 2.3972,                 3.0001,                 2.0459,                0.01177,                0.67877,                0.36972,                0.22326,                 2.2417,                 3.3831,                 1.9868,             0.00029769,             0.00029769,             0.00029769
                      6,                 2.3784,                 2.8629,                 1.9686,                      1,                0.18451,                0.40696,                0.23792,                 2.2416,                 3.2842,                  1.964,             0.00034603,             0.00034603,             0.00034603
                      7,                 2.3344,                 2.8027,                  2.054,                0.95347,                0.13333,                    0.4,                0.22047,                 2.3634,                 3.1713,                 2.0232,             0.00038966,             0.00038966,             0.00038966
                      8,                 2.2626,                 2.6335,                 1.9461,                0.91647,                0.26667,                0.40011,                0.22398,                 2.4078,                 3.1864,                 2.0914,             0.00042857,             0.00042857,             0.00042857
                      9,                 2.3168,                 2.3955,                 1.9214,                0.80493,                0.41446,                0.44679,                0.22851,                 2.4609,                 3.1122,                 2.1765,             0.00046277,             0.00046277,             0.00046277
                     10,                 2.2682,                 2.5004,                 1.9919,                0.53111,                0.38784,                0.43387,                0.20939,                 2.4024,                 3.0893,                 2.1863,             0.00049225,             0.00049225,             0.00049225
                     11,                  2.232,                 2.3633,                 1.9567,                0.75713,                0.32947,                0.40865,                0.19897,                 2.3754,                 3.0786,                 2.1912,             0.00051701,             0.00051701,             0.00051701
                     12,                  2.567,                 2.3744,                 2.0917,                0.63793,                0.36374,                0.41514,                0.21574,                 2.3159,                  2.978,                 2.1426,             0.00053706,             0.00053706,             0.00053706
                     13,                 2.4206,                 2.3392,                 1.9606,                 0.6854,                0.36425,                0.44778,                0.22091,                  2.351,                 2.9294,                 2.1206,             0.00055239,             0.00055239,             0.00055239
